tf_container  | Epoch 22 Batch 1300 Loss 0.3820
tf_container  | Epoch 22 Batch 1400 Loss 0.3873
tf_container  | Epoch 22 Loss 0.386042
tf_container  | Time taken for 1 epoch 369.40901017189026 sec
tf_container  |
tf_container  | Epoch 23 Batch 0 Loss 0.3939
tf_container  | Epoch 23 Batch 100 Loss 0.4197
tf_container  | Epoch 23 Batch 200 Loss 0.3879
tf_container  | Epoch 23 Batch 300 Loss 0.3960
tf_container  | Epoch 23 Batch 400 Loss 0.3943
tf_container  | Epoch 23 Batch 500 Loss 0.3752
tf_container  | Epoch 23 Batch 600 Loss 0.3851
tf_container  | Epoch 23 Batch 700 Loss 0.3892
tf_container  | Epoch 23 Batch 800 Loss 0.3796
tf_container  | Epoch 23 Batch 900 Loss 0.3463
tf_container  | Epoch 23 Batch 1000 Loss 0.3722
tf_container  | Epoch 23 Batch 1100 Loss 0.4053
tf_container  | Epoch 23 Batch 1200 Loss 0.3961
tf_container  | Epoch 23 Batch 1300 Loss 0.3787
tf_container  | Epoch 23 Batch 1400 Loss 0.3700
tf_container  | Epoch 23 Loss 0.379687
tf_container  | Time taken for 1 epoch 369.7224566936493 sec
tf_container  |
tf_container  | Epoch 24 Batch 0 Loss 0.4010
tf_container  | Epoch 24 Batch 100 Loss 0.4254
tf_container  | Epoch 24 Batch 200 Loss 0.3916
tf_container  | Epoch 24 Batch 300 Loss 0.3883
tf_container  | Epoch 24 Batch 400 Loss 0.3952
tf_container  | Epoch 24 Batch 500 Loss 0.3549
tf_container  | Epoch 24 Batch 600 Loss 0.3748
tf_container  | Epoch 24 Batch 700 Loss 0.3894
tf_container  | Epoch 24 Batch 800 Loss 0.3719
tf_container  | Epoch 24 Batch 900 Loss 0.3566
tf_container  | Epoch 24 Batch 1000 Loss 0.3700
tf_container  | Epoch 24 Batch 1100 Loss 0.3870
tf_container  | Epoch 24 Batch 1200 Loss 0.3923
tf_container  | Epoch 24 Batch 1300 Loss 0.3797
tf_container  | Epoch 24 Batch 1400 Loss 0.3680
tf_container  | Epoch 24 Loss 0.376352
tf_container  | Time taken for 1 epoch 369.46076798439026 sec
tf_container  |
tf_container  | Epoch 25 Batch 0 Loss 0.3909
tf_container  | Epoch 25 Batch 100 Loss 0.4218
tf_container  | Epoch 25 Batch 200 Loss 0.3776
tf_container  | Epoch 25 Batch 300 Loss 0.3906
tf_container  | Epoch 25 Batch 400 Loss 0.3822
tf_container  | Epoch 25 Batch 500 Loss 0.3616
tf_container  | Epoch 25 Batch 600 Loss 0.3754
tf_container  | Epoch 25 Batch 700 Loss 0.3843
tf_container  | Epoch 25 Batch 800 Loss 0.3571
tf_container  | Epoch 25 Batch 900 Loss 0.3492
tf_container  | Epoch 25 Batch 1000 Loss 0.3580
tf_container  | Epoch 25 Batch 1100 Loss 0.3836
